Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Kaif Khan Vlogs,3 weeks ago,7:35  golden words  ALLAH Mufti sahab ko jaza e khair de my favourite,https://yt3.ggpht.com/IODM8WsnHI3_dmnaJnnMdtv6II8y7cLfD2FVx_HmOpmD-t6S0AKy8p2bJC8mXGxS70qjbxCjUg=s48-c-k-c0x00ffffff-no-rj,0
Humaira Masroor,1 month ago,Ma Sha'a Allah zaberdast mufti sb ️,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,4
Amad Abbasi,1 month ago,Masha AllAh great zabrdas mufti sahab ️,https://yt3.ggpht.com/ytc/AGIKgqNasL5tpxfia3BaSW9CNvQP7hncqfopO11-bnPcmeXW8hgM2sLSucsaf--noEpp=s48-c-k-c0x00ffffff-no-rj,0
Humaira Masroor,1 month ago,Cruise ship vlog️,https://yt3.ggpht.com/rssv-kWzbkuNl02PL01rfXd9HfIanm4AydRqeyam64bIc_1GeZ_4qTJV5hxlx91p7RkwKP7oWA=s48-c-k-c0x00ffffff-no-rj,2
COOK SHOK,1 month ago,Very Great video ,,0
Misbah Ashfaq,1 month ago,Mashallah  good,,0
Saad,4 weeks ago,Mashallah mashallah,,0
WAjiD HN,1 month ago,ماشااللہ مفتی صاحب چھا گئے ہیں۔۔ اللہ پاک ان کو صحت وتندرستی عطا فرمائیں۔,,0
KAMRAN ALI Official,1 month ago,Masah Allah yarr,,0
Baba Baloch,1 month ago,Good ,,0
Samiullah Khan,1 month ago,Vlogging k lye camera acha rakhe to hato bacho ho jai ga ,,12
Muhammad Osman Yazdani,2 weeks ago,Salam Mufti sb.,,0
Shees Malik,1 month ago,Behtareen mufti sahab mobile ka camera thoda or hato bacho hojae maza aaeyga,,0
AI helpline,2 weeks ago,Ghar Peer Ka Bijli Ke Charaghon Se Hai Roshan.,https://yt3.ggpht.com/ytc/AGIKgqNF9iHQT_tpEExtlBVZigN1yusCix1TwDTvUja0NvRy6001esWFU5MAzZjPgANO=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Adil,1 month ago,"Assalamualaikum
Aligarh
Aap Khairiyat se hai",https://yt3.ggpht.com/ytc/AGIKgqOygwzPYwkPDJII87S-k1Cswxw3k8JleRbbV6Votw=s48-c-k-c0x00ffffff-no-rj,0
Fazal Kareem,3 weeks ago,AP kb gaye thy 2022 ya 23 konsa mahina,https://yt3.ggpht.com/ytc/AGIKgqOnBaw6WrzmJQRy0jOCXxHRWkIGB8ylCOq6vv3wq1YLygjLfq6tCxVinn5P0kZh=s48-c-k-c0x00ffffff-no-rj,0
The light,3 weeks ago,"Exmuslim sahil, Adam seeker urdu, zafar heretic, tarksheel bharat,sachwala on YouTube be rational save humanity",https://yt3.ggpht.com/ytc/AGIKgqOoLBGspq05pTCGNElp9MulA645JlgK22YqVQ=s48-c-k-c0x00ffffff-no-rj,0
vistaforsvagen vistaforsvagen,1 month ago (edited),"Mufti Sahab k pas itna paisa kahan se araha he Meri samajh se bahar he, ya phr maal e muft Dil e be rehem wala maamla chal rha he",https://yt3.ggpht.com/ytc/AGIKgqPawTCa0pZLazwkjobO_DkGcQZZzX9YidGEsfL5JDEHAPbPrYByA40-rbgnC_BX=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Osman Yazdani,2 weeks ago,"wonderful vlogs - just one thing, please dont put this horrible 'humming sound' in the background. its depressing and it ruins the mood",https://yt3.ggpht.com/ytc/AGIKgqM-DR467Jc4bwiubDp5zIoEeHILTkqsjzvKAQ=s48-c-k-c0x00ffffff-no-rj,0
Fuzal Khan,1 month ago,Apka WhatsApp number mill sakta hai mujhe Jo bhi daubt hoga ma apse puch lunga please,https://yt3.ggpht.com/ytc/AGIKgqO8hy1wZHWoH7wldmE8G6DanpMJHOsmB7gAeOAu97HY0nScpeTeB2Agp9ehKJvG=s48-c-k-c0x00ffffff-no-rj,1
