Title,Views,Duration,Upload Time,Thumbnail
Advice for Married Men | شادی شدہ مرد,5.9K views,3:32,,https://i.ytimg.com/vi/40MD1XrP1OE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCVuixhZ2fXlBFPMXvFWI0Qd6bC2A
Ek Ajeeb Dua | ایک عجیب دعا,11K views,3:40,,https://i.ytimg.com/vi/DHwq5EBpgx0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVjsAAuHwOo3YuOlNaToI24_Ubkg
Advice for Married Women | شادی شدہ عورتیں,13K views,3:39,,https://i.ytimg.com/vi/SWe92_rDi5k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUqCGXHxOX8FX-cSwjNpDzwbck7w
How to Get E2 Visa | E2 ویزا کیسے حاصل کریں,5.6K views,14:07,,https://i.ytimg.com/vi/lDlkoSVhORw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBcfgmLY7JSkBYAeh3sGhVK9mhtYQ
In the Land of Wolves | بھیڑیوں کے  دیس میں  | भेड़ियों के देश में,13K views,6:48,,
Why Kids Don't Behave | بچے کیوں نہیں سدھرتے | बच्चे व्यवहार क्यों नहीं करते,8.8K views,4:35,,
How to Grow YouTube from Facebook | فیس بک کی مدد سے یو ٹیوب سبسکرائبرز لائیں,"Premieres 4/16/23, 7:15 PM",UPCOMING,,
Sell Anything on Facebook | فیس بک پر کچھ بھی بیچیں,"Premieres 4/15/23, 7:15 PM",UPCOMING,,
Wronged by your Own | اپنوں کے ستائے ہوئے,"Premieres 4/17/23, 7:15 PM",UPCOMING,,
What's Your North Star? | محور,"Premieres 4/12/23, 7:15 PM",UPCOMING,,
Life Long Skills - Respect | زندگی بھر کی کمائی - ادب,"Premieres 4/13/23, 7:15 PM",UPCOMING,,
Self Made Fallacy | سیلف میڈ لوگوں کا المیہ,"Premieres 4/18/23, 7:15 PM",UPCOMING,,
Lifelong Skills - Don't Lie | جھوٹ مت بولیں,"Premieres 4/14/23, 7:15 PM",UPCOMING,,
For Poor Only | غریبوں کے لئے | केवल गरीबों के लिए,32K views,4:57,,
Imported Imam | امپورٹڈ امام,6.7K views,2:48,,
Are You Going for Umrah | کیا آپ عمرہ پر جا رہے ہیں |क्या आप उमरा के लिए जा रहे हैं,8.5K views,3:32,,
US Visa Interview | امریکہ کا ویزا انٹرویو | यूएस वीजा साक्षात्कार,20K views,8:08,,
What Freelancers Should Do | فری لانسرز کیا کریں  | फ्रीलांसर क्या करते हैं?,27K views,9:57,,
I'm Not Pious | میں اچھا آدمی نہیں ہوں | मैं एक अच्छा इंसान नहीं हूँ,11K views,4:43,,
Wrap it Up | لپیٹ دو نظام کو | सिस्टम को लपेटो,33K views,10:12,,
When to Fear Allah | اللہ سے کب ڈرنا ہے؟ | कब अल्लाह से डरना चाहिए?,8.2K views,5:44,,
One Who Feels | صاحب درد,"Premieres 4/11/23, 7:15 PM",UPCOMING,,
How to Make 1000$ from YouTube Per Month | یو ٹیوب سے ماہانہ یقینی 1000 ڈالر کمائیں,142K views,13:39,,
Hasten to Goodness | نیکی میں جلدی کریں | अच्छाई के लिए जल्दी करो,9.1K views,6:46,,
How to Spend Ramadhan | رمضان کیسے گذاریں؟ |  रमजान कैसे बिताएं,55K views,4:19,,
"Earn Money, Make Videos | ویڈیو بنائیں پیسہ کمائیں | वीडियो बनाओ और पैसे कमाओ!",16K views,2:53,,
Walee Demo | ولی ڈیمو | वाला डेमो,20K views,13:48,,
Pay Zakat | زکواۃ نکالیں | जकात अदा करें,10K views,9:57,,
How to Find Peace | سکون کیسے حاصل کریں | शांति कैसे पाएं,18K views,6:29,,
Someone Special | کوئی تو ہو | कोई तो है,16K views,5:21,,
